
PRODUCT_CD,CUR_FAC_OP_CD,MC_NO,CAST_STR_NUM,SM_STEEL_GRD,CC_UNCOND_SF_MTH,CUR_HCR_TP,QA_TRK_ACT_CODE,SL_QTRACK_OCR_CD,SPECIFICATION_CD,UNCOND_SLAB_ASS_FLAG,CC_CSTP_COOL_TYPE,CTL_INDI_HCR_TP,DESN_SRF_INDI,C_ST_CONST_B_RST,C_ST_CONST_C_RST,C_ST_CONST_CA_RST,C_ST_CONST_CEQ_RST,C_ST_CONST_CR_RST,C_ST_CONST_CU_RST,C_ST_CONST_MN_RST,C_ST_CONST_MO_RST,C_ST_CONST_N_RST,C_ST_CONST_NB_RST,C_ST_CONST_NI_RST,C_ST_CONST_P_RST,C_ST_CONST_S_RST,C_ST_CONST_SI_RST,C_ST_CONST_SOL_AL_RST,C_ST_CONST_TI_RST,C_ST_CONST_TOT_AL_RST,C_ST_CONST_V_RST,BF_NUM1,BF_NUM2,CH_IR_CALC_S,CAST_CAST_SPD_CNG_QT,CASTING_AVG_SPEED,CASTING_MAX_SPEED,CASTING_MIN_SPEED,CC_2ND_C_WTR_RETE_TM,EMLA_LS_LEFT_FREQ,EMLA_LS_LEFT_ISIDE_E_CUR_V,EMLA_LS_LEFT_OSD_E_CUR_V,EMLA_LS_RGT_FREQ,EMLA_LS_RGT_ISIDE_E_CUR_V,EMLA_LS_RGT_OSD_E_CUR_V,EMS_USE_F,L_MLD_TAPR_RATE,LIGHT_ROLL_FLAG,MLAC_10MM_OV_TIM,MLAC_20MM_OV_TIM,MLAC_3MM_OV_TIM,MLAC_5MM_OV_TIM,MLD_LON_ISIDE_C_WTR_TM_TIM,MLD_LON_OSD_C_WTR_TM_TIM,MLD_M_MAT_SUR_VAR_W_MAX_V,MLD_SOT_LEFT_C_WTR_TM_TIM,MLD_SOT_RGT_C_WTR_TM_TIM,RMLD_TAPR_LEFT_CNG_QT,MLD_TAPR_RGT_CNG_QT,MLD_VIBRA_W,R_MLD_TAPR_RATE,SETT_NOZ_SETTLE_DTH_AV_V,SETT_NOZ_SETTLE_DTH_MAX_V,SETT_NOZ_SETTLE_DTH_MI_V,SHRO_NOZ_SETTLE_DTH_AV_V,SHRO_NOZ_SETTLE_DTH_MAX_V,SHRO_NOZ_SETTLE_DTH_MI_V,SM_CC_MD_MX_CASPD_OFFC_LOC,SM_CC_MD_MX_CNG_CAST_SPD,SM_CC_MD_MXML_VAR_OFFC_LOC,SM_CC_MD_MXML_VAR_QT,SM_CCM_BD_AV_CAST_SPD,SM_CCM_BD_MN_CAST_SPD,SM_CCM_BD_MX_CAST_SPD,SM_CCM_CBW_AV_CAST_SPD,SM_CCM_CBW_MN_CAST_SPD,SM_CCM_CBW_MX_CAST_SPD,SM_CCM_UBD_AV_CAST_SPD,SM_CCM_UBD_MN_CAST_SPD,SM_CCM_UBD_MX_CAST_SPD,SM_CCM_UBD_ST_AV_CAST_SPD,SM_CCM_UBD_ST_MN_CAST_SPD,SM_CCM_UBD_ST_MX_CAST_SPD,TUND_M_STE_OVRH_DGR,TUND_NOZ_AC_POURING_QT,TUND_NOZ_CAL_POURING_QT,TUND_NOZ_CLOSE_X,TUND_SETT_NOZ_AR_AV_FLOW_QT,TUND_SETT_NOZ_AR_AV_OILP,TUND_SETT_NOZ_AR_MAX_FLOW_QT,TUND_SETT_NOZ_AR_MAX_OILP,TUND_SETT_NOZ_AR_MI_FLOW_QT,TUND_SETT_NOZ_AR_MI_OILP,TUND_SLIDGTE_OPEN_H_QT,TUNDISH_SLID_NOZ_MAX_OPEN_H,TUNDISH_SLID_NOZ_MI_OPEN_H,TUNDISH_SLID_NOZ_OPEN_H_VAR_RT,TUNDISH_AVG_TEMP,UNCOND_SLAB_LTH,UNCOND_SLAB_THK,UNCOND_SLAB_WGT,UNCOND_SLAB_WTH,CH_LADEL_SLAG_RPR_QT,CH_LAD_USE_TIM,CH_CPR,C_ST_CONST_SN_RST,C_ST_CONST_ZN_RST,SCR_T_CH_QT,CAST_LAD_M_STE_QT,SM_CC_LDOP_INSAT_CST_HD_POS,SHRO_NOZ_AR_MAX_OILP,TUND_UP_NOZ_AR_MAX_OILP,CH_IR_CALC_MN,SM_CC_LDOP_INDN_CST_HD_POS,TUND_UP_NOZ_AR_MI_OILP,SM_CC_LD_SN_RP_CSTP_HD_POS,SHRO_NOZ_AR_MI_OILP,TUND_UP_NOZ_AR_MI_FLOW_QT,SHRO_NOZ_AR_MAX_FLOW_QT,C_ST_CONST_ZR_RST,CH_HMR,CH_IR_QT,MLD_SOT_LEFT_C_QT,RH_CHARGE_T_VACCUM_PRC_TM,TUND_UP_NOZ_AR_AV_FLOW_QT,SM_OP_CAST_MD_INJ_CSTP_QT1,SM_CC_DEF_FST_RST_TP,SLAB_SUR_MAIN_DEF_CD2
C,1W,2,3,WU3007FFTI5,L,C,SFK,3T,F-365-A13-E,K,NA,C,K,0,0.0014,0,0,0.02,0.018,0.081,0,19,0.001,0.01,0.0067,0.0052,0.001,0.032,0.046,0.034,0.002,3,3,0.002,0.02,1.32,1.33,1.31,39,0,0,0,0,0,0,Y,2.05,NA,0,0,0,0,6.5,6.1,0,6.2,6.5,1,1,0,2.08,200,200,200,369,387,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62,2.77,0,30,0.14,30,0.14,30,0.14,73,75,72,3.45,1556,7900,250,21700,1410,2360,1287,0,0.003,0,61992,0,0,0,1.73,0.2,0,1.67,0,0,9.1,0,0,79.3,238640,701,21.4,9.2,322310,NA,OK
C,1W,2,4,WU3007FFTI5,L,C,SFK,3T,F-365-A13-E,K,NA,C,K,0,0.0014,0,0,0.02,0.018,0.081,0,19,0.001,0.01,0.0067,0.0052,0.001,0.032,0.046,0.034,0.002,3,3,0.002,0.01,1.34,1.35,1.33,39,0,0,0,0,0,0,Y,1.81,NA,0,0,0,0,5.7,6.3,0,6,6.1,1,1,0,1.81,200,200,200,377,392,353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,2.76,5,30,0.13,30,0.14,30,0.13,72,73,71,2.79,1556,7650,250,20940,1400,2360,1287,0,0.003,0,61992,0,0,0,1.64,0.2,0,1.6,0,0,9.1,0,0,79.3,238640,700,21.4,9.1,322310,NA,OK
H,1W,4,7,WU3007FFTI5,L,C,NA,3T,PHT270MN-E,K,NA,C,L,0,0.0017,0,0,0.02,0.011,0.091,0,18,0.002,0.01,0.011,0.0045,0.001,0.02,0.045,0.021,0.002,1,1,0.002,0,1.6,1.6,1.6,42,0,0,0,0,0,0,NA,0,NA,0,0,0,0,6.4,5.2,0,9.2,8.5,0,0,0,0,-93,-93,-93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46,2.17,5,0,0.01,0,0.01,0,0.01,60,61,59,2.5,1555,11810,250,25630,1110,2580,539,0,0.001,0,40900,0,0,0,1.58,0.19,0,1.5,0,0,10.1,0,0,86.4,260520,549,23.1,10.1,215231,NA,OK
C,1W,2,4,WU3007FFTI5,K,C,NA,3T,A653-DQSK,N,NA,C,K,0,0.0017,0,0,0.02,0.02,0.073,0,20,0.002,0.01,0.0071,0.0042,0.002,0.025,0.044,0.027,0.003,5,5,0.002,0.01,1.3,1.3,1.29,38.8,0,0,0,0,0,0,Y,0.21,NA,0,0,0,0,5.7,6.4,0,6.1,6.6,0,0,0,0.21,200,200,200,262,278,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57,2.57,-3,30,0.25,30,0.25,30,0.24,69,71,67,4.32,1555,7860,250,21670,1410,2570,910,0.3,0.003,0,43063,0,0,0,1.57,0.17,0,1.55,0,0,9.2,0,0,85.7,259930,700,22.8,9.2,2799,NA,OK
H,2W,1,1,WU3007FFTI5,K,C,SFK,3T,PHT270MN,G,NA,H,NA,1,0.0022,3,0,0.02,0.014,0.081,0.01,20,0.001,0.01,0.013,0.0038,0.002,0.034,0.046,0.035,0.002,3,3,0.016,0,1.3,1.31,1.29,38.1,0,0,0,0,0,0,NA,0,NA,0,0,0,0,10,6.1,0,6.7,6.6,0,0,0,0,0,0,0,329,337,319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,2.3,0,5.1,0.53,5.1,0.66,5.1,0.39,63,65,62,3.68,1559,9230,250,26710,1480,3000,888,0,0.004,0,0,0,0,0,1.52,0.18,0,1.49,0,0,9.1,0,0,83.2,242200,591,22.3,9.1,264779,NA,OK

